sn2004s	0.01	14.183	0.973	0.035	0.213
sn1999ac	0.01	14.13	0.987	0.056	0.177
sn1997do	0.011	14.317	0.983	0.056	0.204
sn2006bh	0.011	14.347	0.814	-0.045	0.168
sn2002dp	0.011	14.597	0.973	0.113	0.203
sn2005al	0.012	14.843	0.871	-0.073	0.179
sn2001ep	0.013	14.904	0.903	0.088	0.189
sn1997e	0.014	15.118	0.819	0.036	0.2
sn2001fe	0.015	14.685	1.077	-0.002	0.194
sn2005bo	0.014	15.646	0.867	0.236	0.186
sn2002ha	0.014	14.703	0.867	-0.056	0.202
sn2006n	0.015	15.09	0.787	-0.023	0.196
sn1999dq	0.014	14.409	1.103	0.075	0.183
sn1999aa	0.016	14.728	1.12	-0.052	0.167
sn1992al	0.014	14.499	0.959	-0.087	0.187
sn2001bt	0.014	15.317	0.899	0.18	0.181
sn2005el	0.015	14.842	0.838	-0.08	0.19
sn1999dk	0.014	14.881	0.991	0.086	0.198
sn2001v	0.016	14.596	1.111	0.025	0.176
sn2005kc	0.015	15.502	0.933	0.176	0.192
sn1994s	0.015	14.801	1.031	-0.037	0.208
sn2001cz	0.016	15.083	1.007	0.071	0.19
sn2001cn	0.015	15.306	0.933	0.145	0.191
sn2001bf	0.015	14.719	1.1	0	0.215
sn2004eo	0.015	15.104	0.88	0.058	0.18
sn2004ey	0.016	14.676	1.001	-0.107	0.201
sn2001en	0.015	15.095	0.877	0.038	0.309
sn2006td	0.016	15.735	0.841	0.123	0.208
sn1996bv	0.017	15.353	1.064	0.162	0.234
sn2006ax	0.017	14.984	1.001	-0.091	0.174
sn2001da	0.017	15.464	0.778	0.078	0.412
sn2000dk	0.018	15.361	0.768	-0.001	0.184
sn1998v	0.017	15.105	0.983	0.004	0.243
sn1998ef	0.018	14.832	0.892	-0.068	0.203
sn2007ci	0.019	15.909	0.729	0.066	0.188
sn1992bo	0.019	15.79	0.771	-0.03	0.182
sn2002kf	0.02	15.664	0.862	-0.032	0.222
sn2005ki	0.02	15.536	0.844	-0.067	0.171
sn2003w	0.021	15.89	0.993	0.134	0.178
sn1992bc	0.021	15.145	1.081	-0.086	0.173
sn2006ej	0.02	15.779	0.853	0.026	0.204
sn2007bc	0.022	15.912	0.852	0.011	0.191
sn2002jy	0.022	15.758	1.109	-0.008	0.2
sn2008bf	0.022	15.739	1.034	0.013	0.178
sn2006bq	0.022	16.191	0.848	0.079	0.191
sn2006et	0.022	16.003	1.11	0.166	0.215
sn2006cp	0.023	16.015	1.052	0.099	0.188
sn2006ar	0.023	16.486	0.903	0.128	0.198
sn1995ak	0.022	15.982	0.85	0.011	0.278
sn2006mp	0.023	16.009	1.092	0.036	0.188
sn2005bg	0.025	15.833	1.044	-0.003	0.185
sn2006ac	0.023	16.193	0.895	0.08	0.174
sn1994m	0.025	16.278	0.83	0.043	0.208
sn2000cn	0.024	16.554	0.755	0.115	0.189
sn2007f	0.024	15.914	1.059	-0.02	0.187
sn2000ca	0.023	15.606	1.062	-0.073	0.194
sn2007qe	0.024	16.074	1.059	0.067	0.171
sn2006sr	0.024	16.157	0.852	0.011	0.195
sn1993h	0.024	16.766	0.726	0.179	0.193
sn2002bf	0.025	16.358	0.936	0.169	0.232
sn2002he	0.025	16.271	0.82	-0.012	0.214
sn1992ag	0.025	16.355	0.95	0.18	0.231
sn2005ms	0.027	16.18	1.045	-0.01	0.181
sn1992p	0.028	16.097	1.079	-0.063	0.271
sn2007cq	0.025	15.85	0.938	0.003	0.198
sn2005na	0.027	15.934	0.95	-0.078	0.183
sn2004gs	0.027	17.146	0.768	0.167	0.172
sn1999gp	0.027	16.044	1.182	0.029	0.186
sn2007co	0.027	16.491	0.964	0.098	0.186
sn1998ab	0.028	16.089	0.982	0.066	0.194
sn2002de	0.028	16.699	1.062	0.139	0.223
sn2003u	0.029	16.521	0.791	0.003	0.227
sn2005eq	0.029	16.322	1.159	0.026	0.184
sn2001ba	0.03	16.244	1.008	-0.095	0.196
sn1996c	0.031	16.654	1.073	0.087	0.208
sn2006qo	0.03	16.865	1.048	0.192	0.18
sn2003ch	0.03	16.725	0.842	-0.001	0.2
sn1990o	0.03	16.267	1.047	-0.018	0.229
sn1997dg	0.031	16.84	0.941	-0.024	0.215
sn2006az	0.031	16.517	0.858	-0.064	0.168
sn2004as	0.033	17.011	1.049	0.077	0.2
sn2007bd	0.032	16.614	0.844	-0.021	0.18
sn1999cc	0.032	16.783	0.812	0.015	0.174
sn2006s	0.033	16.898	1.112	0.074	0.172
sn2006bt	0.031	16.971	1.011	0.13	0.181
sn2004l	0.033	17.385	0.925	0.192	0.234
sn2005iq	0.034	16.76	0.878	-0.085	0.17
sn2003iv	0.035	17.03	0.741	-0.04	0.25
sn2006gr	0.034	17.009	1.103	0.1	0.184
sn2005eu	0.035	16.521	1.101	-0.027	0.213
sn2002hd	0.036	16.867	0.858	0.081	0.377
sn1992bg	0.035	16.749	0.956	-0.037	0.281
sn1996bl	0.035	16.677	0.979	0.006	0.206
sn2000cf	0.037	17.05	0.916	-0.023	0.193
sn2006mo	0.037	17.486	0.759	0.065	0.207
sn2001eh	0.037	16.667	1.185	-0.004	0.198
sn1999aw	0.039	16.791	1.234	-0.032	0.182
sn2002hu	0.038	16.69	1.045	-0.058	0.183
sn2003fa	0.039	16.763	1.152	-0.01	0.182
sn2001az	0.04	16.986	1.108	-0.049	0.259
sn2005lz	0.041	17.674	0.844	0.093	0.201
sn1992bl	0.042	17.345	0.815	-0.035	0.24
sn1992bh	0.042	17.649	0.99	0.065	0.215
sn2004gu	0.047	17.439	1.141	0.101	0.178
sn2005hc	0.045	17.302	1.078	-0.006	0.18
sn1993ag	0.049	17.865	0.884	0.085	0.241
sn1995ac	0.049	17.091	1.085	-0.012	0.184
sn1990af	0.05	17.796	0.741	-0.006	0.198
sn1993o	0.053	17.656	0.906	-0.073	0.196
sn1999ao	0.055	17.906	0.95	-0.017	0.212
sn1998dx	0.054	17.546	0.844	-0.088	0.24
sn2006ob	0.059	18.302	0.741	0.022	0.187
sn2006oa	0.058	17.955	1.131	0.023	0.196
SDSS3901	0.063	18.015	1.117	0.051	0.18
sn1992bs	0.063	18.317	0.966	-0.018	0.237
sn2006an	0.065	18.195	1.061	0.016	0.222
sn2007ae	0.063	17.832	1.198	0.002	0.234
SDSS10028	0.065	18.373	0.891	0.054	0.2
SDSS6057	0.067	18.641	0.944	0.129	0.206
sn2006al	0.069	18.485	0.809	-0.063	0.248
sn1993b	0.07	18.497	0.914	0.057	0.273
sn2006on	0.068	18.494	1.038	0.104	0.31
sn1992ae	0.075	18.448	0.944	-0.027	0.266
sn2005ir	0.075	18.4	1.043	0.014	0.17
sn1999bp	0.078	18.422	1.065	-0.037	0.198
sn1992bp	0.079	18.335	0.877	-0.075	0.212
sn2005ag	0.08	18.44	1.029	-0.014	0.179
SDSS1241	0.087	19.103	0.929	0.072	0.189
SDSS3592	0.087	18.751	0.975	-0.04	0.178
SDSS6773	0.09	18.663	0.979	-0.011	0.207
SDSS2102	0.095	18.634	1.133	-0.094	0.217
